"bic_de","name","zip","city","code","bic","country:id"
"63070024","Deutsche Bank Privat und Geschäftskunden","88382","Biberach an der Riß","Deutsche Bank PGK Biberach","DEUTDEDB631","base.de"
"63070024","Deutsche Bank Privat und Geschäftskunden","89231","Neu-Ulm","Deutsche Bank PGK Neu-Ulm","DEUTDEDB632","base.de"
"63070088","Deutsche Bank","89006","Ulm, Donau","Deutsche Bank Ulm Donau","DEUTDESS630","base.de"
"63070088","Deutsche Bank","88382","Biberach an der Riß","Deutsche Bank Biberach Riß","DEUTDESS631","base.de"
"63070088","Deutsche Bank","89231","Neu-Ulm","Deutsche Bank Neu-Ulm","DEUTDESS632","base.de"
"63080015","Commerzbank vormals Dresdner Bank","89005","Ulm, Donau","Commerzbank Ulm Donau","DRESDEFF630","base.de"
"63080085","Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 1","70140","Stuttgart","Commerzbank ITGK1 Ulm","DRESDEFFI59","base.de"
"63090100","Volksbank Ulm-Biberach","89250","Senden, Iller","Volksbank Ulm-Biberach","ULMVDE66004","base.de"
"63090100","Volksbank Ulm-Biberach","89165","Dietenheim, Iller","Volksbank Ulm-Biberach","ULMVDE66005","base.de"
"63090100","Volksbank Ulm-Biberach","89231","Neu-Ulm","Volksbank Ulm-Biberach","ULMVDE66008","base.de"
"63090100","Volksbank Ulm-Biberach","89070","Ulm, Donau","Volksbank Ulm-Biberach","ULMVDE66XXX","base.de"
"63091010","Ehinger Volksbank","89574","Ehingen (Donau)","Ehinger Volksbank","GENODES1EHI","base.de"
"63091200","Volksbank Blaubeuren","89136","Blaubeuren","Volksbank Blaubeuren","GENODES1BLA","base.de"
"63091300","Volksbank Laichingen","89150","Laichingen","Volksbank Laichingen","GENODES1LAI","base.de"
"63220090","UniCredit Bank - HypoVereinsbank","89501","Heidenheim an der Brenz","UniCredit Bank-HypoVereinbk","HYVEDEMM271","base.de"
"63240016","Commerzbank","89502","Heidenheim an der Brenz","Commerzbank Heidenheim","COBADEFF632","base.de"
"63250030","Kreissparkasse Heidenheim","89505","Heidenheim an der Brenz","Kr Spk Heidenheim","SOLADES1HDH","base.de"
"63290110","Heidenheimer Volksbank","89504","Heidenheim an der Brenz","Heidenheimer Volksbank","GENODES1HDH","base.de"
"63291210","Giengener Volksbank -alt-","89527","Giengen an der Brenz","Giengener Volksbank -alt-","GENODES1GVB","base.de"
"64000000","Bundesbank","72711","Reutlingen","BBk Reutlingen","MARKDEF1640","base.de"
"64020030","Baden-Württembergische Bank","72702","Reutlingen","BW Bank Reutlingen","SOLADEST640","base.de"
"64020186","UniCredit Bank - HypoVereinsbank","72702","Reutlingen","UniCredit Bank-HypoVereinbk","HYVEDEMM374","base.de"
"64040033","Commerzbank","72701","Reutlingen","Commerzbank Reutlingen","COBADEFF640","base.de"
"64040045","Commerzbank","72555","Metzingen, Württ","Commerzbank Metzingen Würt","COBADEFF645","base.de"
"64050000","Kreissparkasse Reutlingen","72710","Reutlingen","Kr Spk Reutlingen","SOLADES1REU","base.de"
"64050181","Baden-Württemb.Bank/Landesbank Baden-Württemb.","72764","Reutlingen","BW-Bank/LBBW Reutlingen","SOLADEST460","base.de"
"64061854","VR Bank Steinlach-Wiesaz-Härten","72810","Gomaringen","VR Steinlach-Wiesaz-Härten","GENODES1STW","base.de"
"64070024","Deutsche Bank Privat und Geschäftskunden","72542","Metzingen, Württ","Deutsche Bank PGK Metzingen","DEUTDEDB634","base.de"
"64070024","Deutsche Bank Privat und Geschäftskunden","72783","Pfullingen","Deutsche Bank PGK Pfullinge","DEUTDEDB636","base.de"
"64070024","Deutsche Bank Privat und Geschäftskunden","72704","Reutlingen","Deutsche Bank PGK Reutlinge","DEUTDEDB640","base.de"
"64070024","Deutsche Bank Privat und Geschäftskunden","72003","Tübingen","Deutsche Bank PGK Tübingen","DEUTDEDB641","base.de"
